"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"385","Deca01","9/24/2013","CAR02",3.9,0,25,"EB",1,2
"386","Deca01","9/26/2013","CAR03",3.3,0,30,"EB",1,2
"387","Deca01","9/26/2013","CAR03",4,0,33,"EB",1,2
"388","Deca01","9/28/2013","CAR06",NA,NA,NA,"EB",1,2
"389","Deca01","11/8/2013","CAR09",6.72,0,41,"ST",1,2
"390","Deca01","11/7/2013","CAR10",3.7,0,58,"ST",1,2
"391","Deca01","10/28/2013","CAR12",2.2,0,72,"EB",1,2
"392","Deca01","10/25/2013","CAR17",2.77,0,38,"ST",1,2
"393","Deca01","10/25/2013","CAR17",3.95,0,42,"ST",1,2
"394","Deca01","10/25/2013","CAR17",0.65,0,42,"ST",1,2
"395","Deca01","10/25/2013","CAR17",7.51,0,42,"ST",1,2
"396","Deca01","10/25/2013","CAR17",7.51,0,42,"ST",1,2
